Player,Nation,Weekly Wage,,Yearly Salary,,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Team
Oliver Norwood,nir NIR,"£24,000",,"£1,248,000",,MF,32,27,16,1440,16,1,0,1,0,1,1,8,0,1.1,0.3,0.6,0.9,3,73,10,0.06,0,0.06,0,0,0.07,0.04,0.11,0.02,0.06,Sheffield United
Oliver Skipp,eng ENG,"£49,000",,"£2,548,000",,"MF,DF",22,21,5,707,7.9,0,0,0,0,0,0,3,0,0.7,0.7,0.6,1.3,8,37,25,0,0,0,0,0,0.09,0.07,0.16,0.09,0.16,Tottenham Hotspur
Ollie Watkins,eng ENG,"£120,000",,"£6,240,000",,FW,27,37,37,3217,35.7,19,13,32,19,0,0,4,0,16.8,16.8,7.3,24.2,62,55,214,0.53,0.36,0.9,0.53,0.9,0.47,0.21,0.68,0.47,0.68,Aston Villa
Orel Mangala,be BEL,"£44,000",,"£2,288,000",,MF,25,20,19,1563,17.4,1,0,1,1,0,0,6,0,0.8,0.8,0.2,1.1,13,45,14,0.06,0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,Nottingham Forest
Oscar Bobb,no NOR,"£6,800",,"£353,600",,"FW,MF",20,14,2,302,3.4,1,1,2,1,0,0,0,0,1.4,1.4,1.2,2.6,13,25,38,0.3,0.3,0.6,0.3,0.6,0.41,0.37,0.78,0.41,0.78,Manchester City
Pablo Fornals,es ESP,"£79,000",,"£4,108,000",,"MF,FW",27,15,4,426,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,4,29,27,0,0,0,0,0,0.07,0.07,0.13,0.07,0.13,West Ham United
Pablo Sarabia,es ESP,"£110,000",,"£5,720,000",,"MF,FW",31,30,20,1745,19.4,4,7,11,2,2,2,5,0,5.5,3.9,5.9,9.8,41,109,137,0.21,0.36,0.57,0.1,0.46,0.28,0.3,0.59,0.2,0.5,Wolverhampton
Pape Matar Sarr,sn SEN,"£29,000",,"£1,508,000",,MF,20,34,27,2069,23,3,3,6,3,0,0,9,0,3.4,3.4,2.2,5.7,43,150,90,0.13,0.13,0.26,0.13,0.26,0.15,0.1,0.25,0.15,0.25,Tottenham Hotspur
Pascal Groß,de GER,"£69,000",,"£3,588,000",,"MF,DF",32,36,34,3114,34.6,4,10,14,3,1,1,6,0,6.5,5.7,8.1,13.8,83,302,180,0.12,0.29,0.4,0.09,0.38,0.19,0.24,0.42,0.16,0.4,Brighton
Pau Torres,es ESP,"£120,000",,"£6,240,000",,DF,26,29,27,2464,27.4,2,0,2,2,0,0,1,0,1,1,0.4,1.4,42,128,16,0.07,0,0.07,0.07,0.07,0.04,0.02,0.05,0.04,0.05,Aston Villa
Paul Dummett,wls WAL,"£39,000",,"£2,028,000",,DF,31,5,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Newcastle United
Pedro Neto,pt POR,"£39,000",,"£2,028,000",,"FW,MF",23,20,18,1516,16.8,2,9,11,2,0,0,4,0,3.5,3.5,4.4,7.9,98,54,149,0.12,0.53,0.65,0.12,0.65,0.21,0.26,0.47,0.21,0.47,Wolverhampton
Pedro Porro,es ESP,"£130,000",,"£6,760,000",,DF,23,35,35,3089,34.3,3,7,10,3,0,0,3,0,2.9,2.9,7.2,10.1,57,194,158,0.09,0.2,0.29,0.09,0.29,0.09,0.21,0.3,0.09,0.3,Tottenham Hotspur
Pervis Estupiñán,ec ECU,"£59,000",,"£3,068,000",,DF,25,19,15,1243,13.8,2,3,5,2,0,0,4,0,1,1,3.5,4.4,47,83,88,0.14,0.22,0.36,0.14,0.36,0.07,0.25,0.32,0.07,0.32,Brighton
Phil Foden,eng ENG,"£130,000",,"£6,760,000",,"FW,MF",23,35,33,2857,31.7,19,8,27,19,0,0,2,0,10.3,10.3,8.4,18.7,93,168,269,0.6,0.25,0.85,0.6,0.85,0.33,0.26,0.59,0.33,0.59,Manchester City
Philip Billing,dk DEN,"£54,000",,"£2,808,000",,MF,27,29,13,1398,15.5,2,2,4,2,0,0,3,1,2.5,2.5,3.2,5.7,22,53,63,0.13,0.13,0.26,0.13,0.26,0.16,0.21,0.36,0.16,0.36,Bournemouth
Raúl Jiménez,mx MEX,"£78,000",,"£4,056,000",,FW,32,24,18,1395,15.5,7,0,7,7,0,0,3,1,5.2,5.2,1.5,6.6,11,24,87,0.45,0,0.45,0.45,0.45,0.33,0.1,0.43,0.33,0.43,Fulham
Raheem Sterling,eng ENG,"£350,000",,"£18,200,000",,"FW,MF",28,31,22,1978,22,8,4,12,8,0,0,7,0,6.5,6.5,4.5,11,120,78,242,0.36,0.18,0.55,0.36,0.55,0.29,0.2,0.5,0.29,0.5,Chelsea
Rúben Dias,pt POR,"£175,000",,"£9,100,000",,DF,26,30,28,2559,28.4,0,0,0,0,0,0,0,0,1.4,1.4,0.3,1.7,34,173,16,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,Manchester City
Raphaël Varane,fr FRA,"£350,000",,"£18,200,000",,DF,30,22,16,1375,15.3,1,0,1,1,0,0,2,0,1.3,1.3,0.1,1.3,16,59,2,0.07,0,0.07,0.07,0.07,0.08,0,0.09,0.08,0.09,Manchester United
Rasmus Højlund,dk DEN,"£78,000",,"£4,056,000",,FW,20,30,25,2158,24,10,2,12,10,0,0,2,0,7.6,7.6,1.6,9.2,36,33,111,0.42,0.08,0.5,0.42,0.5,0.32,0.07,0.38,0.32,0.38,Manchester United
Rayan Aït-Nouri,dz ALG,"£33,000",,"£1,716,000",,"DF,MF",22,33,29,2329,25.9,2,1,3,2,0,0,7,0,3.3,3.3,2.4,5.6,67,99,99,0.08,0.04,0.12,0.08,0.12,0.13,0.09,0.22,0.13,0.22,Wolverhampton
Reece Burke,eng ENG,"£23,000",,"£1,196,000",,DF,26,22,20,1660,18.4,0,4,4,0,0,0,5,0,1.3,1.3,1.4,2.7,11,67,14,0,0.22,0.22,0,0.22,0.07,0.07,0.15,0.07,0.15,Luton Town
Reece James,eng ENG,"£250,000",,"£13,000,000",,DF,23,10,5,419,4.7,0,2,2,0,0,0,2,2,0.3,0.3,1.7,2.1,19,21,35,0,0.43,0.43,0,0.43,0.07,0.37,0.44,0.07,0.44,Chelsea
Reiss Nelson,eng ENG,"£88,000",,"£4,576,000",,FW,23,15,1,268,3,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.8,9,5,26,0,0,0,0,0,0.07,0.2,0.27,0.07,0.27,Arsenal
Remi Matthews,eng ENG,"£4,700",,"£244,400",,GK,29,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crystal Palace
Rhian Brewster,eng ENG,"£34,000",,"£1,768,000",,"FW,MF",23,13,3,346,3.8,0,0,0,0,0,0,0,1,0.4,0.4,0.1,0.5,1,3,21,0,0,0,0,0,0.09,0.03,0.12,0.09,0.12,Sheffield United
Rhys Norrington-Davies,wls WAL,"£16,000",,"£832,000",,DF,24,5,2,110,1.2,0,0,0,0,0,0,1,0,0,0,0,0,3,2,6,0,0,0,0,0,0,0.01,0.01,0,0.01,Sheffield United
Richarlison,br BRA,"£175,000",,"£9,100,000",,FW,26,28,18,1491,16.6,11,4,15,11,0,0,3,0,9.6,9.6,2.1,11.7,26,38,106,0.66,0.24,0.91,0.66,0.91,0.58,0.13,0.7,0.58,0.7,Tottenham Hotspur
Rico Henry,eng ENG,"£35,000",,"£1,820,000",,DF,26,5,5,401,4.5,0,1,1,0,0,0,1,0,0.1,0.1,1,1.1,13,20,12,0,0.22,0.22,0,0.22,0.02,0.22,0.24,0.02,0.24,Brentford
Rico Lewis,eng ENG,"£23,000",,"£1,196,000",,"DF,MF",18,16,8,809,9,2,0,2,2,0,0,1,0,0.6,0.6,1.1,1.8,21,33,46,0.22,0,0.22,0.22,0.22,0.07,0.12,0.19,0.07,0.19,Manchester City
Robert Sánchez,es ESP,"£68,000",,"£3,536,000",,GK,25,16,16,1433,15.9,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Chelsea
Robin Olsen,se SWE,"£33,000",,"£1,716,000",,GK,33,5,4,405,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aston Villa
Rodri,es ESP,"£165,000",,"£8,580,000",,MF,27,34,34,2931,32.6,8,9,17,8,0,0,8,1,4.1,4.1,3.9,8,76,376,55,0.25,0.28,0.52,0.25,0.52,0.12,0.12,0.24,0.12,0.24,Manchester City
Rodrigo Bentancur,uy URU,"£100,000",,"£5,200,000",,MF,26,23,13,1005,11.2,1,1,2,1,0,0,7,0,1.9,1.9,0.5,2.4,16,72,31,0.09,0.09,0.18,0.09,0.18,0.17,0.04,0.22,0.17,0.22,Tottenham Hotspur
Rodrigo Muniz,br BRA,"£10,000",,"£520,000",,FW,22,26,18,1593,17.7,9,1,10,9,0,0,1,0,8.7,8.7,2,10.7,8,19,76,0.51,0.06,0.56,0.51,0.56,0.49,0.12,0.61,0.49,0.61,Fulham
Roméo Lavia,be BEL,"£73,000",,"£3,796,000",,MF,19,1,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Chelsea
Ross Barkley,eng ENG,"£43,000",,"£2,236,000",,MF,29,32,30,2618,29.1,5,4,9,5,0,0,6,0,4.1,4.1,3.7,7.9,48,163,39,0.17,0.14,0.31,0.17,0.31,0.14,0.13,0.27,0.14,0.27,Luton Town
Ryan Christie,sct SCO,"£33,000",,"£1,716,000",,MF,28,37,35,2907,32.3,0,5,5,0,0,0,6,0,2.3,2.3,5.4,7.7,60,167,78,0,0.15,0.15,0,0.15,0.07,0.17,0.24,0.07,0.24,Bournemouth
Ryan Gravenberch,nl NED,"£160,000",,"£8,320,000",,MF,21,26,12,1121,12.5,1,0,1,1,0,0,0,0,2,2,0.9,2.9,39,78,71,0.08,0,0.08,0.08,0.08,0.16,0.07,0.23,0.16,0.23,Liverpool
Ryan Yates,eng ENG,"£23,000",,"£1,196,000",,MF,25,35,21,1992,22.1,1,1,2,1,0,0,6,0,2.6,2.6,0.8,3.5,18,73,37,0.05,0.05,0.09,0.05,0.09,0.12,0.04,0.16,0.12,0.16,Nottingham Forest
Saša Lukić,rs SRB,"£58,000",,"£3,016,000",,MF,26,24,13,1122,12.5,1,0,1,1,0,0,3,0,1.6,1.6,0.8,2.4,12,43,27,0.08,0,0.08,0.08,0.08,0.13,0.06,0.19,0.13,0.19,Fulham
Saïd Benrahma,dz ALG,"£58,000",,"£3,016,000",,"FW,MF",27,13,5,620,6.9,0,1,1,0,0,1,1,0,1.8,1,1.4,2.5,28,28,70,0,0.15,0.15,0,0.15,0.27,0.21,0.47,0.15,0.36,West Ham United
Sam Johnstone,eng ENG,"£43,000",,"£2,236,000",,GK,30,20,20,1796,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crystal Palace
Saman Ghoddos,ir IRN,"£23,000",,"£1,196,000",,DF,29,19,7,739,8.2,1,0,1,1,0,0,5,0,0.3,0.3,1.1,1.4,22,36,31,0.12,0,0.12,0.12,0.12,0.04,0.13,0.17,0.04,0.17,Brentford
Sander Berge,no NOR,"£48,000",,"£2,496,000",,MF,25,37,34,3005,33.4,1,2,3,1,0,0,10,1,1.9,1.9,2.4,4.3,64,164,29,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13,Burnley
Sandro Tonali,it ITA,"£133,000",,"£6,916,000",,MF,23,8,5,438,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0.6,1.3,11,19,21,0.21,0,0.21,0.21,0.21,0.13,0.13,0.26,0.13,0.26,Newcastle United
Santiago Bueno,uy URU,"£28,000",,"£1,456,000",,DF,24,12,9,822,9.1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,11,2,0,0,0,0,0,0,0.01,0.01,0,0.01,Wolverhampton
Scott McKenna,sct SCO,"£23,000",,"£1,196,000",,DF,26,5,5,416,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,10,0,0,0,0,0,0,0.05,0.04,0.08,0.05,0.08,Nottingham Forest
Scott McTominay,sct SCO,"£78,000",,"£4,056,000",,"MF,FW",26,32,18,1901,21.1,7,1,8,7,0,0,2,0,5.7,5.7,0.8,6.6,29,64,47,0.33,0.05,0.38,0.33,0.38,0.27,0.04,0.31,0.27,0.31,Manchester United
Sean Longstaff,eng ENG,"£28,000",,"£1,456,000",,MF,25,35,30,2747,30.5,6,2,8,6,0,0,7,0,6.6,6.6,2.3,8.8,24,145,116,0.2,0.07,0.26,0.2,0.26,0.22,0.07,0.29,0.22,0.29,Newcastle United
Serge Aurier,ci CIV,"£43,000",,"£2,236,000",,"DF,MF",30,12,10,833,9.3,0,2,2,0,0,0,2,0,0.2,0.2,0.5,0.6,10,47,29,0,0.22,0.22,0,0.22,0.02,0.05,0.07,0.02,0.07,Nottingham Forest
Sergio Gómez,es ESP,"£38,000",,"£1,976,000",,"FW,MF",22,6,0,53,0.6,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,4,2,4,0,1.7,1.7,0,1.7,0.41,0.31,0.73,0.41,0.73,Manchester City
Shandon Baptiste,gd GRN,"£21,000",,"£1,092,000",,MF,25,10,2,229,2.5,1,1,2,1,0,0,1,0,0.9,0.9,0.2,1.1,3,5,1,0.39,0.39,0.79,0.39,0.79,0.35,0.08,0.43,0.35,0.43,Brentford
Simon Adingra,ci CIV,"£13,000",,"£676,000",,FW,21,31,25,2222,24.7,6,1,7,6,0,0,3,0,4.3,4.3,3.7,8,111,50,278,0.24,0.04,0.28,0.24,0.28,0.17,0.15,0.32,0.17,0.32,Brighton
Sofyan Amrabat,ma MAR,"£30,000",,"£1,560,000",,"MF,DF",26,21,10,938,10.4,0,0,0,0,0,0,6,0,0.1,0.1,0.3,0.4,6,66,10,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Manchester United
Solly March,eng ENG,"£53,000",,"£2,756,000",,"FW,DF",29,7,7,554,6.2,3,1,4,3,0,0,1,0,2,2,1,2.9,14,24,44,0.49,0.16,0.65,0.49,0.65,0.32,0.16,0.47,0.32,0.47,Brighton
Son Heung-min,kr KOR,"£197,000",,"£10,244,000",,FW,31,35,34,2934,32.6,17,10,27,15,2,2,1,0,12,10.4,11.8,22.2,119,139,325,0.52,0.31,0.83,0.46,0.77,0.37,0.36,0.73,0.32,0.68,Tottenham Hotspur
Stefan Ortega,de GER,"£58,000",,"£3,016,000",,GK,30,9,5,635,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester City
Sven Botman,nl NED,"£88,000",,"£4,576,000",,DF,23,17,15,1377,15.3,2,2,4,2,0,0,2,0,0.6,0.6,1,1.6,0,35,5,0.13,0.13,0.26,0.13,0.26,0.04,0.07,0.11,0.04,0.11,Newcastle United
Tahith Chong,nl NED,"£32,000",,"£1,664,000",,"MF,FW",23,33,20,1982,22,4,0,4,4,0,0,4,0,2.7,2.7,0.5,3.2,57,72,101,0.18,0,0.18,0.18,0.18,0.12,0.02,0.15,0.12,0.15,Luton Town
Taiwo Awoniyi,ng NGA,"£42,000",,"£2,184,000",,FW,25,20,12,1042,11.6,6,3,9,6,0,0,2,0,4.7,4.7,1.7,6.4,8,14,45,0.52,0.26,0.78,0.52,0.78,0.41,0.15,0.56,0.41,0.56,Nottingham Forest
Takehiro Tomiyasu,jp JPN,"£62,000",,"£3,224,000",,DF,24,22,10,1149,12.8,2,1,3,2,0,0,2,1,1.5,1.5,0.4,1.9,17,72,37,0.16,0.08,0.23,0.16,0.23,0.12,0.03,0.15,0.12,0.15,Arsenal
Tariq Lamptey,gh GHA,"£42,000",,"£2,184,000",,"DF,FW",22,19,10,914,10.2,0,3,3,0,0,0,3,0,0.4,0.4,1.2,1.7,39,17,64,0,0.3,0.3,0,0.3,0.04,0.12,0.16,0.04,0.16,Brighton
Teden Mengi,eng ENG,"£17,000",,"£884,000",,DF,21,30,28,2469,27.4,1,0,1,1,0,0,3,0,0.6,0.6,0.3,0.9,15,54,1,0.04,0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,Luton Town
Thiago Silva,br BRA,"£96,000",,"£4,992,000",,DF,38,31,28,2527,28.1,3,1,4,3,0,0,4,0,0.8,0.8,1,1.8,2,102,5,0.11,0.04,0.14,0.11,0.14,0.03,0.04,0.06,0.03,0.06,Chelsea
Thilo Kehrer,de GER,"£92,000",,"£4,784,000",,"DF,MF",26,4,0,22,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,West Ham United
Thomas Kaminski,be BEL,"£27,000",,"£1,404,000",,GK,30,38,38,3405,37.8,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Luton Town
Thomas Partey,gh GHA,"£160,000",,"£8,320,000",,"MF,DF",30,14,9,788,8.8,0,0,0,0,0,0,3,0,0.4,0.4,0.3,0.7,15,72,10,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08,Arsenal
Thomas Strakosha,al ALB,"£32,000",,"£1,664,000",,GK,28,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brentford
Tim Iroegbunam,eng ENG,"£12,000",,"£624,000",,MF,20,9,1,164,1.8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,Aston Villa
Tim Ream,us USA,"£32,000",,"£1,664,000",,DF,35,18,17,1503,16.7,1,0,1,1,0,0,4,1,1,1,0,1,11,65,3,0.06,0,0.06,0.06,0.06,0.06,0,0.06,0.06,0.06,Fulham
Timothy Castagne,be BEL,"£62,000",,"£3,224,000",,DF,27,34,29,2634,29.3,1,3,4,1,0,0,3,0,1.6,1.6,1.9,3.5,48,77,113,0.03,0.1,0.14,0.03,0.14,0.06,0.07,0.12,0.06,0.12,Fulham
tino Livramento,eng ENG,"£62,000",,"£3,224,000",,DF,20,26,12,1314,14.6,1,0,1,1,0,0,1,0,0.4,0.4,0.8,1.2,44,61,76,0.07,0,0.07,0.07,0.07,0.03,0.05,0.08,0.03,0.08,Newcastle United
Tom Cairney,sct SCO,"£27,000",,"£1,404,000",,MF,32,34,14,1488,16.5,1,4,5,1,0,0,3,0,1.1,1.1,2.3,3.4,35,145,72,0.06,0.24,0.3,0.06,0.3,0.07,0.14,0.2,0.07,0.2,Fulham
Tom Davies,eng ENG,"£22,000",,"£1,144,000",,MF,25,9,2,221,2.5,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.4,3,8,3,0,0,0,0,0,0.14,0.03,0.17,0.14,0.17,Sheffield United
Tom Lockyer,wls WAL,"£24,000",,"£1,248,000",,DF,28,14,14,1169,13,1,1,2,1,0,0,4,0,1.1,1.1,0.6,1.7,6,37,2,0.08,0.08,0.15,0.08,0.15,0.08,0.05,0.13,0.08,0.13,Luton Town
Tomáš Souček,cz CZE,"£47,000",,"£2,444,000",,MF,28,37,34,2870,31.9,7,2,9,7,0,0,7,0,6.7,6.7,1.7,8.4,7,86,39,0.22,0.06,0.28,0.22,0.28,0.21,0.05,0.26,0.21,0.26,West Ham United
Tommy Doyle,eng ENG,"£7,000",,"£364,000",,MF,21,26,11,1222,13.6,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.9,21,81,17,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Wolverhampton
Tosin Adarabioyo,eng ENG,"£47,000",,"£2,444,000",,DF,25,20,18,1617,18,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,10,62,5,0.11,0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,Fulham
Trent Alexander-Arnold,eng ENG,"£192,000",,"£9,984,000",,DF,24,28,25,2155,23.9,3,4,7,3,0,0,6,0,2.6,2.3,7.2,9.5,45,205,97,0.13,0.17,0.29,0.13,0.29,0.11,0.3,0.41,0.1,0.4,Liverpool
Trevoh Chalobah,eng ENG,"£77,000",,"£4,004,000",,DF,24,13,10,952,10.6,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,5,31,9,0.09,0,0.09,0.09,0.09,0.02,0.01,0.02,0.02,0.02,Chelsea
Tyler Adams,us USA,"£47,000",,"£2,444,000",,MF,24,3,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,5,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Bournemouth
Tyler Onyango,eng ENG,"£2,600",,"£135,200",,MF,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Everton
Tyrick Mitchell,eng ENG,"£37,000",,"£1,924,000",,"DF,MF",23,37,37,3204,35.6,2,3,5,2,0,0,6,0,1.6,1.6,2.8,4.4,32,94,159,0.06,0.08,0.14,0.06,0.14,0.04,0.08,0.12,0.04,0.12,Crystal Palace
Tyrone Mings,eng ENG,"£72,000",,"£3,744,000",,DF,30,1,1,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.07,0.09,0.02,0.09,Aston Villa
Victor Lindelöf,se SWE,"£170,000",,"£8,840,000",,DF,29,19,14,1328,14.8,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.1,17,40,17,0.07,0.07,0.14,0.07,0.14,0.05,0.02,0.07,0.05,0.07,Manchester United
Vinicius Souza,br BRA,"£27,000",,"£1,404,000",,MF,24,36,29,2668,29.6,1,0,1,1,0,0,3,0,0.6,0.6,0.2,0.8,7,66,21,0.03,0,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.03,Sheffield United
Virgil van Dijk,nl NED,"£240,000",,"£12,480,000",,DF,32,36,36,3177,35.3,2,2,4,2,0,0,3,1,2.8,2.8,1.6,4.4,32,200,7,0.06,0.06,0.11,0.06,0.11,0.08,0.04,0.12,0.08,0.12,Liverpool
Vitaliy Mykolenko,ua UKR,"£72,000",,"£3,744,000",,DF,24,28,28,2469,27.4,2,0,2,2,0,0,1,0,1.5,1.5,0.9,2.4,14,55,68,0.07,0,0.07,0.07,0.07,0.06,0.03,0.09,0.06,0.09,Everton
Vitaly Janelt,de GER,"£32,000",,"£1,664,000",,"MF,DF",25,38,37,3054,33.9,1,3,4,1,0,0,8,0,1.8,1.8,4.8,6.5,25,123,81,0.03,0.09,0.12,0.03,0.12,0.05,0.14,0.19,0.05,0.19,Brentford
Vitinho,br BRA,"£17,000",,"£884,000",,"DF,MF",24,32,26,2314,25.7,0,2,2,0,0,0,1,0,1.6,1.6,1.3,2.9,59,66,110,0,0.08,0.08,0,0.08,0.06,0.05,0.11,0.06,0.11,Burnley
Vladimír Coufal,cz CZE,"£52,000",,"£2,704,000",,DF,30,36,36,3132,34.8,0,7,7,0,0,0,7,1,0.3,0.3,4,4.3,68,119,126,0,0.2,0.2,0,0.2,0.01,0.11,0.12,0.01,0.12,West Ham United
Wataru Endo,jp JPN,"£71,000",,"£3,692,000",,MF,30,29,20,1722,19.1,1,0,1,1,0,0,10,0,0.5,0.5,1.7,2.3,10,101,21,0.05,0,0.05,0.05,0.05,0.03,0.09,0.12,0.03,0.12,Liverpool
Wes Foderingham,eng ENG,"£18,000",,"£936,000",,GK,32,30,29,2649,29.4,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheffield United
Will Hughes,eng ENG,"£46,000",,"£2,392,000",,MF,28,30,23,1891,21,0,1,1,0,0,0,6,0,0.3,0.3,1.1,1.5,14,76,17,0,0.05,0.05,0,0.05,0.02,0.05,0.07,0.02,0.07,Crystal Palace
William Osula,dk DEN,"£3,400",,"£176,800",,FW,19,21,9,786,8.7,0,0,0,0,0,0,4,0,1.6,1.6,0.1,1.7,7,2,41,0,0,0,0,0,0.19,0.01,0.2,0.19,0.2,Sheffield United
William Saliba,fr FRA,"£190,000",,"£9,880,000",,DF,22,38,38,3420,38,2,1,3,2,0,0,4,0,1.6,1.6,0.2,1.8,16,157,6,0.05,0.03,0.08,0.05,0.08,0.04,0.01,0.05,0.04,0.05,Arsenal
Willian,br BRA,"£91,000",,"£4,732,000",,FW,34,31,24,2053,22.8,4,2,6,2,2,2,1,0,5.1,3.6,3.9,7.5,92,153,181,0.18,0.09,0.26,0.09,0.18,0.22,0.17,0.4,0.16,0.33,Fulham
Willy Boly,ci CIV,"£46,000",,"£2,392,000",,DF,32,20,18,1438,16,2,1,3,2,0,0,3,1,1.5,1.5,1.3,2.8,4,32,3,0.13,0.06,0.19,0.13,0.19,0.09,0.08,0.18,0.09,0.18,Nottingham Forest
Wilson Odobert,fr FRA,"£16,000",,"£832,000",,"MF,FW",18,29,25,2098,23.3,3,2,5,3,0,0,3,0,2.8,2.8,3.3,6.1,102,58,123,0.13,0.09,0.21,0.13,0.21,0.12,0.14,0.26,0.12,0.26,Burnley
Yasser Larouci,dz ALG,"£2,300",,"£119,600",,DF,22,11,6,531,5.9,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,18,14,12,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,Sheffield United
Yehor Yarmoliuk,ua UKR,"£4,300",,"£223,600",,MF,19,27,6,688,7.6,0,0,0,0,0,0,2,0,1,1,0.1,1.1,13,35,36,0,0,0,0,0,0.13,0.01,0.14,0.13,0.14,Brentford
Yoane Wissa,cd COD,"£26,000",,"£1,352,000",,FW,26,34,29,2493,27.7,12,3,15,12,0,0,7,0,10.6,10.6,3.9,14.5,45,48,150,0.43,0.11,0.54,0.43,0.54,0.38,0.14,0.52,0.38,0.52,Brentford
Youri Tielemans,be BEL,"£150,000",,"£7,800,000",,"MF,FW",26,32,17,1622,18,2,6,8,2,0,0,3,0,1.3,1.3,2.6,3.9,23,128,46,0.11,0.33,0.44,0.11,0.44,0.07,0.14,0.21,0.07,0.21,Aston Villa
Youssef Chermiti,pt POR,"£23,000",,"£1,196,000",,FW,19,18,1,208,2.3,0,0,0,0,0,0,3,0,0.7,0.7,0.8,1.5,5,5,15,0,0,0,0,0,0.31,0.34,0.65,0.31,0.65,Everton
Yves Bissouma,ml MLI,"£100,000",,"£5,200,000",,MF,26,28,26,2068,23,0,0,0,0,0,0,10,2,1.4,1.4,0.4,1.8,43,169,13,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,Tottenham Hotspur
Zeki Amdouni,ch SUI,"£45,000",,"£2,340,000",,FW,22,34,27,1953,21.7,5,1,6,4,1,1,2,0,5.8,5,1.4,6.5,63,49,93,0.23,0.05,0.28,0.18,0.23,0.27,0.07,0.33,0.23,0.3,Burnley
